District,index,category,type,census_code,population
Dhemaji,1,Very High,Flood,308,686133
Pashchim Champaran,0.91,Very High,Flood,203,3935042
Khagaria,0.89,Very High,Flood,223,1666886
Araria,0.87,Very High,Flood,209,2811569
Lakhimpur,0.87,Very High,Flood,307,1042137
Dhubri,0.81,Very High,Flood,301,1949258
Dibrugarh,0.76,Very High,Flood,310,1326335
Purnia,0.76,Very High,Flood,211,3264619
Golaghat,0.75,Very High,Flood,313,1066888
Karbi Anglong,0.72,Very High,Flood,314,956313
Yamunanagar,0.72,Very High,Flood,71,1214205
Sonitpur,0.71,Very High,Flood,306,1924110
Kupwara,0.7,Very High,Flood,1,870354
Bongaigaon,0.69,Very High,Flood,319,738804
Bara Banki,0.68,Very High,Flood,176,3260699
Jorhat,0.67,Very High,Flood,312,1092256
Bhopal,0.66,Very High,Flood,444,2371061
East Siang,0.63,Very High,Flood,251,99214
Karimganj,0.61,Very High,Flood,317,1228686
Chittoor,0.58,High,Flood,554,4174064
Kishanganj,0.55,High,Flood,210,1690400
Tinsukia,0.54,High,Flood,309,1327929
Churu,0.53,High,Flood,102,2039547
Gopalganj,0.53,High,Flood,217,2562012
Rajouri,0.52,High,Flood,6,642415
West Tripura,0.52,High,Flood,289,1725739
Kamrup,0.51,High,Flood,321,1517542
Chitradurga,0.5,High,Flood,566,1659456
Bishnupur,0.48,High,Flood,275,237399
Darjiling,0.48,High,Flood,327,1846823
Kinnaur,0.47,High,Flood,34,84121
Gorakhpur,0.44,High,Flood,188,4440895
Hugli,0.44,High,Flood,338,5519145
Kangra,0.44,High,Flood,24,1510075
Mandi,0.42,High,Flood,27,999777
Kiphire,0.41,High,Flood,269,74004
Upper Siang,0.4,Moderate,Flood,252,35320
Jalpaiguri,0.38,Moderate,Flood,328,3872846
North,0.37,Moderate,Flood,91,887978
South,0.37,Moderate,Flood,98,2731929
Tikamgarh,0.37,Moderate,Flood,424,1445166
Doda,0.36,Moderate,Flood,16,409936
Thoubal,0.36,Moderate,Flood,276,422168
Nadia,0.35,Moderate,Flood,336,5167600
Puducherry,0.35,Moderate,Flood,635,950289
Maldah,0.33,Moderate,Flood,332,3988845
Dimapur,0.32,Moderate,Flood,265,378811
Imphal West,0.32,Moderate,Flood,277,517992
Lahul & Spiti,0.28,Moderate,Flood,25,31564
Anand,0.27,Moderate,Flood,482,2092745
Rayagada,0.26,Moderate,Flood,396,967911
Bahraich,0.25,Moderate,Flood,180,3487731
Chirang,0.24,Moderate,Flood,320,482162
Hailakandi,0.24,Moderate,Flood,318,659296
Barddhaman,0.23,Moderate,Flood,335,7717563
North Tripura,0.23,Moderate,Flood,292,693947
Kulgam,0.22,Moderate,Flood,15,424483
Kheri,0.2,Moderate,Flood,153,4021243
Anantnag,0.19,Low,Flood,14,1078692
Jajapur,0.19,Low,Flood,382,1827192
Karnal,0.19,Low,Flood,74,1505324
Shimla,0.19,Low,Flood,33,814010
Chandel,0.17,Low,Flood,280,144182
Sitapur,0.16,Low,Flood,154,4483992
Bandipore,0.12,Low,Flood,9,392232
Aizawl,0,Very Low,Flood,283,400309
Ambala,0,Very Low,Flood,70,1128350
Anugul,0,Very Low,Flood,384,1273821
Birbhum,0,Very Low,Flood,334,3502404
Chandauli,0,Very Low,Flood,196,1952756
Chandigarh,0,Very Low,Flood,55,1055450
Chikmagalur,0,Very Low,Flood,570,1137961
Dhalai,0,Very Low,Flood,291,378230
Hardwar,0,Very Low,Flood,68,1890422
Kancheepuram,0,Very Low,Flood,604,3998252
Kandhamal,0,Very Low,Flood,390,733110
Katni,0,Very Low,Flood,450,1292042
Kokrajhar,0,Very Low,Flood,300,887142
Leh (ladakh),0,Very Low,Flood,3,133487
Lohit,0,Very Low,Flood,259,145726
Malkangiri,0,Very Low,Flood,399,613192
Mandla,0,Very Low,Flood,454,1054905
Puruliya,0,Very Low,Flood,340,2930115
Sabar Kantha,0,Very Low,Flood,472,2428589
Shrawasti,0,Very Low,Flood,181,1117361
Sirsa,0,Very Low,Flood,79,1295189
South 24 Parganas,0,Very Low,Flood,343,8161961
South Garo Hills,0,Very Low,Flood,295,142334
South Goa,0,Very Low,Flood,586,640537
Supaul,0,Very Low,Flood,208,2229076
The Dangs,0,Very Low,Flood,489,228291
Uttarkashi,0,Very Low,Flood,56,330086
Agra,0.64,Very High,Drought,146,4418797
Ahmadnagar,0.95,Very High,Drought,522,4543159
Ajmer,0.72,Very High,Drought,119,2583052
Akola,0.59,High,Drought,501,1813906
Alwar,0,Very Low,Drought,104,3674179
Amreli,0.47,High,Drought,480,1514190
Anuppur,0,Very Low,Drought,461,749237
Ariyalur,0.42,High,Drought,616,754894
Ashoknagar,0.31,Moderate,Drought,459,845071
Bangalore,0.57,High,Drought,572,9621551
Bangalore Rural,0.63,Very High,Drought,583,990923
Banswara,0.84,Very High,Drought,125,1797485
Baran,0,Very Low,Drought,128,1222755
Bareilly,0,Very Low,Drought,150,4448359
Barmer,0.9,Very High,Drought,115,2603751
Basti,0,Very Low,Drought,185,2464464
Bellary,0.66,Very High,Drought,565,2452595
Bhandara,0,Very Low,Drought,506,1200334
Bhilwara,0.67,Very High,Drought,122,2408523
Bhind,0.26,Moderate,Drought,420,1703005
Bhiwani,0,Very Low,Drought,81,1634445
Bid,0.62,Very High,Drought,523,2585049
Bidar,0.74,Very High,Drought,558,1703300
Bijnor,1,Very High,Drought,134,3682713
Bikaner,0,Very Low,Drought,101,2363937
Bokaro,0.39,Moderate,Drought,355,2062330
Bulandshahr,0.49,High,Drought,142,3499171
Buldana,0.81,Very High,Drought,500,2586258
Bundi,0,Very Low,Drought,121,1110906
Burhanpur,0,Very Low,Drought,467,757847
Chamrajnagar,0.73,Very High,Drought,578,1020791
Chandrapur,0.31,Moderate,Drought,509,2204307
Chikkaballapura,0.53,High,Drought,582,1255104
Chitrakoot,0.3,Moderate,Drought,171,991730
Chittaurgarh,0.52,High,Drought,126,1544338
Datia,0,Very Low,Drought,422,786754
