District,State,Census 2011 Code,Male Population,Female Population,Total Population,Event,Exposure,Sensitivity,Adaptive Capacity,Vulnerability Score,Vulnerability Index,Vulnerability
Adilabad,TELANGANA,532,1369597,1371642,2741239,Flood & Drought,0.160,0.690,0.320,0.345,0.145,Low
Agra,UTTAR PRADESH,146,2364953,2053844,4418797,Drought,0.680,0.690,0.480,0.978,0.560,High
Ahmadabad,GUJARAT,474,3788051,3426174,7214225,Flood & Drought,0.930,0.750,0.540,1.292,0.543,High
Ahmadnagar,MAHARASHTRA,522,2342825,2200334,4543159,Drought,0.960,0.650,0.440,1.418,0.813,Very High
Aizawl,MIZORAM,283,199270,201039,400309,Flood,0.000,1.000,0.510,0.000,0.000,Very Low
Ajmer,RAJASTHAN,119,1324085,1258967,2583052,Drought,0.960,0.330,0.440,0.720,0.413,High
Akola,MAHARASHTRA,501,932334,881572,1813906,Drought,0.680,0.700,0.520,0.915,0.525,High
Alappuzha,KERALA,598,1013142,1114647,2127789,Flood & Drought,0.280,0.630,0.500,0.353,0.148,Low
Aligarh,UTTAR PRADESH,143,1951996,1721893,3673889,Flood & Drought,0.160,0.840,0.480,0.280,0.118,Low
Alirajpur,MADHYA PRADESH,465,362542,366457,728999,,,,,,,
Allahabad,UTTAR PRADESH,175,3131807,2822584,5954391,Flood & Drought,0.040,0.620,0.490,0.051,0.021,Low
Almora,UTTARAKHAND,64,291081,331425,622506,,,,,,,
Alwar,RAJASTHAN,104,1939026,1735153,3674179,Drought,0.000,0.630,0.540,0.000,0.000,Very Low
Ambala,HARYANA,70,598703,529647,1128350,Flood,0.000,0.790,0.380,0.000,0.000,Very Low
Ambedkar Nagar,UTTAR PRADESH,178,1212410,1185478,2397888,Flood & Drought,0.040,0.710,0.340,0.084,0.035,Low
Amravati,MAHARASHTRA,503,1480768,1407677,2888445,Flood & Drought,0.450,0.780,0.420,0.836,0.351,Moderate
Amreli,GUJARAT,480,771049,743141,1514190,Drought,0.410,0.580,0.360,0.661,0.379,Moderate
Amritsar,PUNJAB,49,1318408,1172248,2490656,,,,,,,
Anand,GUJARAT,482,1087224,1005521,2092745,Flood,0.280,0.280,0.380,0.609,0.242,Moderate
Anantapur,ANDHRA PRADESH,553,2064495,2016653,4081148,Flood & Drought,0.740,0.630,0.330,1.413,0.594,High
Anantnag,JAMMU AND KASHMIR,14,559767,518925,1078692,Flood,0.470,0.990,0.570,0.478,0.190,Low
Anjaw,ARUNACHAL PRADESH,260,11507,9660,21167,,,,,,,
Anugul,ODISHA,384,655718,618103,1273821,Flood,0.000,0.970,0.440,0.000,0.000,Very Low
Anuppur,MADHYA PRADESH,461,379114,370123,749237,Drought,0.000,0.280,0.450,0.000,0.000,Very Low
Araria,BIHAR,209,1463333,1348236,2811569,Flood,0.700,0.980,0.300,2.287,0.907,Very High
Ariyalur,TAMIL NADU,616,374703,380191,754894,Drought,0.410,0.310,0.320,0.397,0.228,Moderate
Arwal,BIHAR,240,363497,337346,700843,Drought & Cyclone,0.000,0.820,0.320,0.000,0.000,Very Low
Ashoknagar,MADHYA PRADESH,459,443837,401234,845071,Drought,0.410,0.390,0.460,0.348,0.199,Low
Auraiya,UTTAR PRADESH,162,740040,639505,1379545,Flood & Drought,0.570,0.810,0.380,1.215,0.511,High
Aurangabad,BIHAR,235,1924469,1776813,3701282,Flood & Drought,0.740,0.810,0.520,1.153,0.485,High
Aurangabad *,MAHARASHTRA,515,1318684,1221389,2540073,,,,,,,
Azamgarh,UTTAR PRADESH,191,2285004,2328909,4613913,Flood & Drought,0.280,0.730,0.350,0.584,0.246,Moderate
Badgam,JAMMU AND KASHMIR,2,398041,355704,753745,,,,,,,
Bagalkot,KARNATAKA,556,950111,939641,1889752,Flood & Drought,0.740,0.770,0.470,1.212,0.510,High
Bageshwar,UTTARAKHAND,63,124326,135572,259898,,,,,,,
Baghpat,UTTAR PRADESH,139,700070,602978,1303048,,,,,,,
Bahraich,UTTAR PRADESH,180,1843884,1643847,3487731,Flood,0.280,0.910,0.410,0.593,0.235,Moderate
Baksa,ASSAM,324,481330,468745,950075,,,,,,,
Balaghat,MADHYA PRADESH,457,842178,859520,1701698,Flood & Drought,0.000,0.660,0.470,0.000,0.000,Very Low
Balangir,ODISHA,393,830097,818900,1648997,Flood & Drought,0.000,0.660,0.470,0.000,0.000,Very Low
Baleshwar,ODISHA,377,1185787,1134742,2320529,"Flood, Drought & Cyclone",0.675,0.910,0.480,1.280,0.548,High
Ballia,UTTAR PRADESH,193,1672902,1566872,3239774,Flood & Drought,0.570,0.710,0.490,0.826,0.347,Moderate
Balrampur,UTTAR PRADESH,182,1114721,1033944,2148665,Flood & Drought,0.160,0.690,0.390,0.283,0.119,Low
Banas Kantha,GUJARAT,469,1610379,1510127,3120506,Flood & Drought,0.450,0.840,0.470,0.804,0.338,Moderate
